id,title,category,layer,importance,include,note,seed_list,url
2503.23250,Encrypted Prompt: Securing LLM Applications Against Unauthorized Actions,Boundary marking / cryptographic provenance,Permission-bearing prompts,B,Useful,Embeds current permissions in an encrypted prompt and verifies before action execution.,True,https://arxiv.org/abs/2503.23250
2410.21492,FATH: Authentication-based Test-time Defense against Indirect Prompt Injection Attacks,Boundary marking / cryptographic provenance,Authenticated response tagging,B,Useful,Uses hash-based tags to authenticate and select user-intended responses.,True,https://arxiv.org/abs/2410.21492
2511.19727,Prompt Fencing: A Cryptographic Approach to Establishing Security Boundaries in Large Language Model Prompts,Boundary marking / cryptographic provenance,Cryptographic prompt boundaries,B,Useful,Signed trust metadata around prompt segments; conceptually attractive but depends on model fence-awareness.,True,https://arxiv.org/abs/2511.19727
2401.07612,Signed-Prompt: A New Approach to Prevent Prompt Injection Attacks Against LLM-Integrated Applications,Boundary marking / cryptographic provenance,Signed prompts,B,Useful,Early proposal to sign trusted instruction segments so the model can distinguish trusted sources.,True,https://arxiv.org/abs/2401.07612
2510.08829,CommandSans: Securing AI Agents with Surgical Precision Prompt Sanitization,"Detection, filtering & firewalls",Token-level sanitization,A,Important,Non-blocking token-level instruction removal; strong empirical results on multiple benchmarks.,True,https://arxiv.org/abs/2510.08829
2510.19207,Defending Against Prompt Injection with DataFilter,"Detection, filtering & firewalls",Data filtering/sanitization,A,Important,Model-agnostic filter that strips malicious instructions from retrieved data while preserving utility.,True,https://arxiv.org/abs/2510.19207
2601.04795,Defense Against Indirect Prompt Injection via Tool Result Parsing,"Detection, filtering & firewalls",Tool-output parsing,B,Useful,Parses tool outputs into precise data to strip injected instructions before LLM consumption.,True,https://arxiv.org/abs/2601.04795
2505.03574,LlamaFirewall: An open source guardrail system for building secure AI agents,"Detection, filtering & firewalls",Open-source guardrail suite,B,Useful,"Practical open-source stack combining jailbreak detection, alignment checks, and code analysis.",True,https://arxiv.org/abs/2505.03574
2508.10991,MCP-Guard: A Multi-Stage Defense-in-Depth Framework for Securing Model Context Protocol in Agentic AI,"Detection, filtering & firewalls",MCP layered detector,B,Useful,Multi-stage static/semantic detector plus benchmark for MCP prompt attacks.,True,https://arxiv.org/abs/2508.10991
2501.15145,PromptShield: Deployable Detection for Prompt Injection Attacks,"Detection, filtering & firewalls",Detector benchmark,B,Useful,Good benchmark and realistic low-FPR detector framing for deployable classifiers.,True,https://arxiv.org/abs/2501.15145
2502.13141,"UniGuardian: A Unified Defense for Detecting Prompt Injection, Backdoor Attacks and Adversarial Attacks in Large Language Models","Detection, filtering & firewalls",Unified detector,B,Useful,Unified malicious-prompt detector across multiple prompt-trigger attacks.,True,https://arxiv.org/abs/2502.13141
2507.02735,Meta SecAlign: A Secure Foundation LLM Against Prompt Injection Attacks,Model-level hardening,Secure base model,A,Must-read,Open secure foundation model with strong utility-security trade-off across many benchmarks.,False,https://arxiv.org/abs/2507.02735
2410.05451,SecAlign: Defending Against Prompt Injection with Preference Optimization,Model-level hardening,Preference optimization,A,Must-read,Strong training-time defense that learns to prefer secure outputs over injected ones.,False,https://arxiv.org/abs/2410.05451
2402.06363,StruQ: Defending Against Prompt Injection with Structured Queries,Model-level hardening,Structured instruction/data separation,A,Must-read,Classic model-level role separation via special formatting + fine-tuning.,False,https://arxiv.org/abs/2402.06363
2511.00447,DRIP: Defending Prompt Injection via Token-wise Representation Editing and Residual Instruction Fusion,Model-level hardening,Representation editing,B,Useful,Edits instruction-like semantics out of data tokens while reinforcing intended instruction.,True,https://arxiv.org/abs/2511.00447
2505.22852,Operationalizing CaMeL: Strengthening LLM Defenses for Enterprise Deployment,Position / operationalization,Enterprise hardening recommendations,C,Supplementary,Response paper proposing enterprise improvements to CaMeL; useful as a design checklist.,True,https://arxiv.org/abs/2505.22852
2508.01249,AgentArmor: Enforcing Program Analysis on Agent Runtime Trace to Defend Against Prompt Injection,Runtime verification & policy enforcement,Program analysis over runtime trace,A,Important,Treats traces as structured programs and applies CFG/DFG/PDG analysis plus a type system.,True,https://arxiv.org/abs/2508.01249
2506.12104,DRIFT: Dynamic Rule-Based Defense with Injection Isolation for Securing LLM Agents,Runtime verification & policy enforcement,Dynamic planner/validator/isolator,A,Important,"Combines secure planner, dynamic validator, and memory-stream injection isolator.",True,https://arxiv.org/abs/2506.12104
2508.15310,IPIGuard: A Novel Tool Dependency Graph-Based Defense Against Indirect Prompt Injection in LLM Agents,Runtime verification & policy enforcement,Planned tool dependency graph,A,Important,Decouples planning from external data by traversing a tool dependency graph.,True,https://arxiv.org/abs/2508.15310
2503.22738,ShieldAgent: Shielding Agents via Verifiable Safety Policy Reasoning,Runtime verification & policy enforcement,Guardrail agent / formal policy reasoning,A,Important,Uses extracted safety policy circuits and formal verification over action trajectories.,True,https://arxiv.org/abs/2503.22738
2412.16682,The Task Shield: Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents,Runtime verification & policy enforcement,Task-alignment verification,A,Important,Checks whether each instruction/tool call serves the user objective.,True,https://arxiv.org/abs/2412.16682
2601.05755,VIGIL: Defending LLM Agents Against Tool Stream Injection via Verify-Before-Commit,Runtime verification & policy enforcement,Verify-before-commit on tool stream,A,Important,Speculative reasoning plus intent-grounded verification for tool-stream injections.,True,https://arxiv.org/abs/2601.05755
2503.18666,AgentSpec: Customizable Runtime Enforcement for Safe and Reliable LLM Agents,Runtime verification & policy enforcement,DSL for runtime constraints,B,Useful,General rule language for triggers/predicates/enforcement across domains.,True,https://arxiv.org/abs/2503.18666
2601.10156,ToolSafe: Enhancing Tool Invocation Safety of LLM-based agents via Proactive Step-level Guardrail and Feedback,Runtime verification & policy enforcement,Step-level tool safety guardrail,B,Useful,Benchmark + guard model + feedback loop for unsafe tool actions.,True,https://arxiv.org/abs/2601.10156
2405.05175,AirGapAgent: Protecting Privacy-Conscious Conversational Agents,Secure architectures by construction,Data minimization / contextual integrity,A,Must-read,Restricts agent access to only task-necessary data; strong privacy-oriented architecture.,True,https://arxiv.org/abs/2405.05175
2509.25926,Better Privilege Separation for Agents by Restricting Data Types,Secure architectures by construction,Type-based privilege separation,A,Must-read,Powerful idea: convert untrusted strings into narrow typed data to eliminate execution via text.,True,https://arxiv.org/abs/2509.25926
2506.08837,Design Patterns for Securing LLM Agents against Prompt Injections,Secure architectures by construction,Architecture design patterns,A,Must-read,Synthesizes secure patterns and trade-offs; great map for system designers.,True,https://arxiv.org/abs/2506.08837
2403.04960,IsolateGPT: An Execution Isolation Architecture for LLM-Based Agentic Systems,Secure architectures by construction,Execution isolation / sandboxing,A,Must-read,"Early blueprint for isolating third-party apps, agent actions, and system resources.",True,https://arxiv.org/abs/2403.04960
